country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Albania,1995,male,25-34 years,13.0,232900,5.58,Albania1995,0.619,"2,42,44,99,009",835.0,Generation X
Albania,1995,male,55-74 years,9.0,178000,5.06,Albania1995,0.619,"2,42,44,99,009",835.0,Silent
Albania,1995,female,75+ years,2.0,40800,4.9,Albania1995,0.619,"2,42,44,99,009",835.0,G.I. Generation
Albania,1995,female,15-24 years,13.0,283500,4.59,Albania1995,0.619,"2,42,44,99,009",835.0,Generation X
Albania,1995,male,15-24 years,11.0,241200,4.56,Albania1995,0.619,"2,42,44,99,009",835.0,Generation X
Albania,1995,male,75+ years,1.0,25100,3.98,Albania1995,0.619,"2,42,44,99,009",835.0,G.I. Generation
Albania,1995,male,35-54 years,14.0,375900,3.72,Albania1995,0.619,"2,42,44,99,009",835.0,Boomers
Albania,1995,female,25-34 years,7.0,264000,2.65,Albania1995,0.619,"2,42,44,99,009",835.0,Generation X
Albania,1995,female,35-54 years,8.0,356400,2.24,Albania1995,0.619,"2,42,44,99,009",835.0,Boomers
Albania,1995,male,5-14 years,6.0,376500,1.59,Albania1995,0.619,"2,42,44,99,009",835.0,Millenials
Albania,1995,female,55-74 years,2.0,180400,1.11,Albania1995,0.619,"2,42,44,99,009",835.0,Silent
Albania,1995,female,5-14 years,2.0,348700,0.57,Albania1995,0.619,"2,42,44,99,009",835.0,Millenials
Albania,2000,male,25-34 years,17.0,232000,7.33,Albania2000,0.656,"3,63,20,43,908",1299.0,Generation X
Albania,2000,male,55-74 years,10.0,177400,5.64,Albania2000,0.656,"3,63,20,43,908",1299.0,Silent
Albania,2000,female,75+ years,2.0,37800,5.29,Albania2000,0.656,"3,63,20,43,908",1299.0,G.I. Generation
Albania,2000,male,75+ years,1.0,24900,4.02,Albania2000,0.656,"3,63,20,43,908",1299.0,G.I. Generation
Albania,2000,female,15-24 years,6.0,263900,2.27,Albania2000,0.656,"3,63,20,43,908",1299.0,Generation X
Albania,2000,male,15-24 years,5.0,240000,2.08,Albania2000,0.656,"3,63,20,43,908",1299.0,Generation X
Albania,2000,female,35-54 years,5.0,332200,1.51,Albania2000,0.656,"3,63,20,43,908",1299.0,Boomers
Albania,2000,female,25-34 years,3.0,245800,1.22,Albania2000,0.656,"3,63,20,43,908",1299.0,Generation X
Albania,2000,male,35-54 years,4.0,374700,1.07,Albania2000,0.656,"3,63,20,43,908",1299.0,Boomers
Albania,2000,male,5-14 years,1.0,374900,0.27,Albania2000,0.656,"3,63,20,43,908",1299.0,Millenials
Albania,2000,female,5-14 years,0.0,324700,0.0,Albania2000,0.656,"3,63,20,43,908",1299.0,Millenials
Albania,2000,female,55-74 years,0.0,168000,0.0,Albania2000,0.656,"3,63,20,43,908",1299.0,Silent
Albania,2005,female,15-24 years,0.0,281922,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Millenials
Albania,2005,female,25-34 years,0.0,190745,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Generation X
Albania,2005,female,35-54 years,0.0,386513,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Boomers
Albania,2005,female,5-14 years,0.0,276559,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Millenials
Albania,2005,female,55-74 years,0.0,210998,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Silent
Albania,2005,female,75+ years,0.0,53191,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Silent
Albania,2005,male,15-24 years,0.0,281675,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Millenials
